Account,Cuenta
current,Corriente
joint,Junta
to close an,A cercano un
to settle an,Para resolver un
agency,Agencia
agent,Agente
apprentice,Aprendiz
assets,Ventajas
balance of account,Equilibrio de cuenta
balance-sheet,Equilibrio-hoja
bank,Banco
bankruptcy failure,Fracaso de bancarrota
bearer,Portador
bill,Factura
bill,Factura
at sight,En vista
at 3 months date,En 3 fecha de meses
of exchange,De intercambio
of lading,De *lading
bond a,Vínculo un
bond in,Vínculo en
book-keeper,Libro-*keeper
branch-establishment,Rama-establecimiento
brokerage,Corretaje
business,Negocio
buyer,Comprador
carriage,Transporte
carriage-paid,Transporte-pagado
cashier,Cajero
charter a ship to,Carta un barco a
charter-party,Carta-partido
catalogue,Catálogo
cheque,Cheque
claim,Reclamación
clerk,Empleado
company,Compañía
joint-stock,Junta-accionario
limited,Limitado
compensation,Compensación
complaint,Queja
confiscate to,Confisca a
contract a,Contrato un
cost insurance and,Cuesta seguro y
freight,Carga
cost price,Cuesta precio
credit,Crédito
creditor,Acreedor
custom-house,Hecho de encargo-casa
customs the,Aduana el
clearing-house,Aclarando-casa
customs duties,Deberes de aduana
damage,Daño
damages,Avería
debenture shares,La obligación comparte
debit,Débito
debt,Deuda
debtor,Deudor
deliver to,Entrega a
delivered free,Entregado liberar
department,Departamento
director manager,Director de director
discount,Descuento
dividend,Dividendo
dock and harbour dues,Muelle y puerto *dues
double entry by,Entrada doble por
draft,Borrador
draw upon to,Sorteo a a
drawer,Cajón
duty export,Exportación de deber
import,Importación
duty-free,Deber-libre
enclosed,Cerrado
enclosure an,Recinto un
endorse to,Aprueba a
endorsement,Aprobación
endorser,Endosante
exchange an,Intercambio un
exports,Exporta
firm a,Empresa un
forwarding,Enviando
free on board,Liberar a bordo
guarantee a,Garantía un
imports,Importa
insolvent,Insolvente
insurance policy,Póliza de seguro
premium,Prima
insure to,Asegura a
introduction,Introducción
letter of,Letra de
invest to,Invierte a
letter of advice,Letra de consejo
liabilities,Responsabilidades
liable to duty,Propenso a deber
load to,Carga a
loss,Pérdida
manifest a,Manifiesta un
marine insurance,Seguro marino
market,Mercado
foreign market,Mercado extranjero
home market,Mercado de casa
London market,London mercado
market-day,Mercado-día
market dues,Mercado *dues
market price,Precio de mercado
not negotiable,No negociable
offer for sale to,Oferta para venta a
office,Oficina
order to,Orden a
packing,Empaquetando
partner,Socio
payable,Pagable
port of delivery,Puerto de entrega
preference shares,Acciones preferentes
price,Precio
price-list,Precio-lista
quarantine,Cuarentena
quotation,Mención
rate of interest,Índice de interés
receipt,Recibo
receiver,Auricular
register to,Registro a
registered tonnage,Arqueo registrado
registration,Inscripción
representative,Representante
rent,Alquiler
retail,Venta al detalle
salesman seller,Vendedor de agente vendedor
selling price,Vendiendo precio
settling days,Resolviendo días
shareholder,Accionista
shares,Comparte
ship to,Barco a
shipping charges,El navío cobra
shop-assistant,Tienda-ayudante
solvent,Solvente
telegraphic address,Dirección telegráfica
towing charges,Remolcador cobra
trade commerce,Comercio de comercio
transaction,Transacción
traveller commercial,Anuncio de viajero
unloading,Descargando
visa to,Visado a
warehouse,Almacén
weight gross,El peso bruto
net,Red
wholesale,Mayorista
