Aunt,Tía
baby,Criatura
boy,Chico
bride,Novia
bridegroom,Novio
brother,Hermano
child,Niño
cousin,Primo
daughter,Hija
daughter-in-law,Nuera
family,Familia
father,Padre
father-in-law,Suegro
gentleman Mr.,Señor Señor
girl,Chica
grand-daughter,Magnífico-hija
grandfather,Abuelo
grandmother,Abuela
grandson,Nieto
husband,Marido
lady Mrs.,Señora Señora
man a,Hombre un
man,Hombre
marriage,Matrimonio
mother,Madre
mother-in-law,Suegra
nephew,Sobrino
niece,Sobrina
parents,Padres
people the,Personas el
person,Persona
single man bachelor,Hombre solo *bachelor
single woman young lady Miss,Mujer sola señorita de señora joven
sister,Hermana
sister-in-law,Hermana-en-ley
son,Hijo
step-son,Paso-hijo
uncle,Tío
widower,Viudo
wife,Mujer
woman,Mujer
