Accumulator,Acumulador
battery,Batería
brake-collar,Freno-cuello
break down  to,Rotura abajo a
chain adjustment,Ajustamiento de cadena
charge to,Cargo a
chassis,Chasis
chauffeur driver,Conductor de chófer
contact-breaker,Contacto-rompiente
driving pinion,Piñón de conducción
elbow,Codo
electric motor,Motor eléctrico
evaporate to,Evapora a
exhaust,Agota
exhaust-box,Agota-cajas
exhaust-valve,Agota-válvula
feed-pump,Alimenta-bomba
fill to,Llena a
flaw,Defecto
fly-wheel,Mosca-rueda
garage,Garaje
gas,Gas
generator,Generador
goggles,Anteojos
gradient,Gradiente
handle,Mango
horse-power,Caballar-poder
leakage,Escape
lever,Palanca
motor,Motor
car,Coche
lamp,Lámpara
packing,Empaquetando
petrol,Gasolina
pressure high,La presión alta
low,Bajo
rack,Atormenta
reservoir tank,Tanque de embalse
reversing lever,Invirtiendo palanca
spare tyre,Neumático de recambio
spark,Chispa
sparking-plug,Chispeando-tapón
speed full,La velocidad llena
high,Alto
low,Bajo
speed-changing gear,Marcha que cambia velocidad
starting-gear,Empezando-marcha
starting handle,Empezando mango
tap,Grifo
throw into gear to,Echa a marcha a
throw out of gear to,Tira de marcha a
