Collection,Colección
contents,Contenta
customs declaration,Aduana *declaration
delivery,Entrega
description,Descripción
excess postage,Franqueo sobrante
letter post,Correo de letra
letter-scales,Letra-balanza
mail the,Correo el
money order,Orden de pago
newspaper wrapper,Diario *wrapper
parcel,Paquete
post,Correo
pillar-box,Pilar-cajas
post the,Correo el
postage paid,El franqueo pagó
postal order,Orden postal
post-card,Correo-tarjeta
post-office,Correo-oficina
postman,Cartero
register to,Registro a
reply paid,La respuesta pagó
stamps,Estampa
telegram,Telegrama
telegraph to,Telégrafo a
form,Forma
messenger,Mensajero
office,Oficina
telephone,Teléfono
call office,Oficina de llamada
number,Número
ring up to,Anillo hasta
to be called for,Para apellidarse para
value insured,El valor aseguró
weigh to,Pesa a
weight a,Peso un
over,Encima
