Ante-room,Ante-habitación
armchair,Sillón
ashes,Cenizas
ash-pan,Ceniza-cacerola
attic,Ático
basket,Cesta
bathroom,Baño
bedroom,Dormitorio
bell,Campana
blind,Ciego
bolt,Tornillo
book,Libro
book-case,Libro-caso
book-shelf,Libro-balda
box,Caja
bracket,Paréntesis
brick,Ladrillo
broom,Escoba
burner,Quemador
candle,Vela
carpet,Alfombra
ceiling,Techo
cellar,Bodega
chair seat,Asiento de silla
chamber-utensil,Cuarto-utensilio
chest of drawers,Pecho de cajones
clock,Reloj
coals,Carbones
court-yard,Tribunal-patio
cradle,Cuna
cupboard,Armario
curtain,Cortina
cushion,Cojín
dining-room,Cenando-habitación
dinner-waggon,Cena-*waggon
door,Puerta
door-handle,Puerta-mango
drawing-room,Dibujo-habitación
dresser,Tocador
feather-bed,Pluma-cama
fire,Fuego
fire-place,Fuego-sitio
flame,Llama
floor,Piso
floor story,Historia de piso
footstool,Escabel
furniture piece of,Pieza de mobiliario de
garden,Jardín
gas,Gas
gas-bracket,Gasista-paréntesis
hall,Sala
hand-basin,Mano-cuenca
rug,Alfombra
house,Casa
key,Llave
kitchen,Cocina
lamp,Lámpara
landing,Aterrizaje
library,Biblioteca
linoleum,Linóleo
lock,Cerradura
mat,Estera
mattress,Colchón
oil-cloth,Aceite-tela
ornament,Ornamento
passage,Paso
piano,Piano
picture,Cuadro
pillow,Almohada
poker,Póquer
porch,Porche
rack,Atormenta
roof,Techo
room,Habitación
screen,Pantalla
shovel,Pala
sink,Fregadero
smoke,Humo
sofa,Sofá
soot,Hollín
spark,Chispa
staircase,Escalera
stairs steps,La escalera da un paso
table,Mesa
tapestry,Tapiz
tile,Azulejo
umbrella-stand,Paraguas-posición
vase,Jarrón
wall,Pared
wall-paper,Pared-papel
water-closet,Agua-armario
window,Ventana
writing-desk,Escritura-escritorio
