Bank,Banco
bank,Banco
barley,Cebada
bridge,Puente
brook,Riachuelo
building,Edificio
bush shrub,Arbusto de arbusto
cattle,Ganado
cemetery,Cementerio
clover,Trébol
corn,Maíz
country the,País el
courtyard,Patio
crop,Cultivo
dairy,Lácteo
ditch,Cuneta
drain,Desagüe
farm,Granja
farmer,Labrador
fence,Valla
field,Campo
flock,Rebaño
foot-path,Pies-camino
foot-pavement,Pies-*pavement
forest,Bosque
garden,Jardín
gate,Puerta
grass,Hierba
harvest,Cosecha
hay,Heno
hedge,Seto
herd,Rebaño
high road,Carretera alta
hotel,Hotel
hut,Cabaña
inn,Mesón
labourer,Peón
land soil,Tierra de tierra
library,Biblioteca
log,Registro
market,Mercado
market-place,Mercado-sitio
meadow,Prado
mile,Milla
mill,Molino
monument,Monumento
oats,Avenas
palace,Palacio
place spot,Sitio de sitio
pasture,Pasto
plough,Arado
police-station,Policial-estación
prison,Prisión
public-house,Público-casa
restaurant,Restaurante
river,Río
road,Carretera
rye,Centeno
school,Escuela
seed,Semilla
shepherd,Pastor
shop,Tienda
square,Plaza
street,Calle
street-lamp,Calle-lámpara
tower,Torre
town,Ciudad
town-hall,Ciudad-sala
tramway,Tranvía
tree,Árbol
university,Universidad
village,Pueblo
waterfall,Cascada
wheat,Trigo
